"fn","m","f","t"
"April",0.03,0.97,956
"Apryl",0.04,0.96,26
"Ara",0.00,1.00,13
"Araceli",0.21,0.79,96
"Aracelis",0.17,0.83,12
"Aracely",0.17,0.83,42
"Aram",0.83,0.17,12
"Arcelia",0.00,1.00,13
"Archana",0.13,0.87,15
"Archie",0.94,0.06,31
"Arden",0.75,0.25,28
"Arely",0.27,0.71,49
"Aren",0.92,0.08,13
"Aretha",0.08,0.92,13
"Argenis",0.73,0.27,11
"Ari",0.19,0.81,151
"Aria",0.02,0.98,48
"Ariadna",0.04,0.96,24
"Ariah",0.13,0.87,15
"Arial",0.29,0.71,14
"Ariana",0.00,1.00,524
"Ariane",0.00,1.00,21
"Arianna",0.00,1.00,422
"Arianne",0.04,0.96,24
"Aric",0.91,0.09,22
"Arica",0.00,1.00,15
"Aricka",0.00,1.00,12
"Arie",0.06,0.94,18
"Ariela",0.00,1.00,14
"Ariella",0.00,1.00,30
"Arielle",0.15,0.85,177
"Arif",1.00,0.00,11
"Arik",1.00,0.00,11
"Arika",0.11,0.89,19
"Arion",0.80,0.20,15
"Ariona",0.13,0.88,16
"Ariyana",0.00,1.00,12
"Ariyanna",0.00,1.00,11
"Arjun",0.98,0.02,42
"Arleen",0.00,1.00,19
"Arlene",0.01,0.99,146
"Arlette",0.00,1.00,19
"Arly",0.07,0.93,15
"Arlyn",0.13,0.87,15
"Arman",0.98,0.02,47
"Armand",0.94,0.06,36
"Armando",0.97,0.03,286
"Armin",0.81,0.19,16
"Armon",0.94,0.06,32
"Armond",0.95,0.05,22
"Arnold",0.98,0.02,86
"Arnoldo",1.00,0.00,16
"Arnulfo",1.00,0.00,12
"Aron",0.96,0.04,55
"Arriana",0.00,1.00,27
"Arrianna",0.00,1.00,11
"Arron",0.94,0.06,31
"Arshdeep",0.87,0.13,15
"Arslan",0.83,0.17,12
"Art",0.95,0.05,43
"Artem",0.92,0.08,13
"Arthur",0.98,0.02,246
"Artie",0.75,0.25,16
"Artur",1.00,0.00,14
"Arturo",0.98,0.02,196
"Arun",1.00,0.00,20
"Arvin",0.96,0.04,26
"Arya",0.09,0.91,22
"Aryan",0.71,0.29,17
"Aryana",0.04,0.96,23
"Aryanna",0.00,1.00,39
"Asa",0.15,0.85,40
"Asad",0.95,0.05,22
"Asha",0.01,0.99,115
"Ashante",0.14,0.86,28
"Ashanti",0.18,0.82,146
"Ashely",0.00,1.00,83
"Asher",0.90,0.10,51
"Ashia",0.00,1.00,30
"Ashlea",0.00,1.00,24
"Ashlee",0.02,0.98,328
"Ashlei",0.00,1.00,14
"Ashleigh",0.05,0.95,229
"Ashley",0.03,0.97,6336
"Ashli",0.05,0.95,59
"Ashlie",0.02,0.98,63
"Ashlin",0.05,0.95,20
"Ashly",0.01,0.99,85
"Ashlyn",0.00,1.00,263
"Ashlynn",0.04,0.96,90
"Ashton",0.84,0.16,290
"Asia",0.05,0.95,532
"Asif",1.00,0.00,11
"Asim",0.79,0.21,14
"Asma",0.21,0.79,28
"Astrid",0.28,0.72,72
"Asya",0.04,0.96,26
"Athena",0.03,0.97,131
"Atiya",0.00,1.00,21
"Atticus",0.93,0.07,14
"Aubree",0.02,0.98,50
"Aubrey",0.02,0.98,294
"Aubri",0.00,1.00,12
"Aubriana",0.00,1.00,12
"Aubrianna",0.00,1.00,11
"Aubrie",0.00,1.00,44
"Aubry",0.06,0.94,18
"Audra",0.03,0.97,61
"Audrey",0.06,0.94,520
"Audriana",0.00,1.00,14
"Audrianna",0.07,0.93,28
"Audrie",0.20,0.80,15
"August",0.82,0.18,57
"Augustin",0.91,0.09,11
"Augusto",1.00,0.00,18
"Augustus",0.94,0.06,18
"Aundrea",0.00,1.00,31
"Aunt",0.08,0.92,150
"Auntie",0.02,0.98,81
"Aunty",0.09,0.91,46
"Aura",0.06,0.94,16
"Aurelia",0.00,1.00,13
"Auriel",0.14,0.86,14
"Aurora",0.05,0.95,125
"Austen",0.98,0.02,63
"Austin",0.98,0.02,2899
"Auston",1.00,0.00,20
"Austyn",0.87,0.13,39
"Autum",0.23,0.77,31
"Autumn",0.19,0.81,677
"Ava",0.03,0.97,206
"Averi",0.09,0.91,11
"Averie",0.18,0.82,11
"Avianna",0.00,1.00,11
"Avis",0.83,0.17,12
"Awa",0.25,0.75,12
"Axel",0.94,0.06,86
"Aya",0.00,1.00,37
"Ayah",0.00,1.00,14
"Ayan",0.72,0.28,29
"Ayana",0.02,0.98,114
"Ayanna",0.01,0.99,174
"Ayden",0.88,0.13,24
"Ayesha",0.02,0.98,61
"Ayla",0.02,0.98,51
"Ayleen",0.11,0.89,19
"Aylin",0.23,0.77,61
"Ayman",0.95,0.05,20
"Ayo",0.83,0.17,12
"Ayomide",0.15,0.85,13
"Aysha",0.03,0.97,33
"Aysia",0.03,0.97,31
"Azalea",0.06,0.94,18
"Azaria",0.06,0.94,32
"Azariah",0.19,0.81,16
"Azia",0.13,0.87,23
"Aziz",0.79,0.21,29
"Aziza",0.00,1.00,17
"Azucena",0.05,0.95,22
"B",0.92,0.08,38
"Baby",0.17,0.83,18
"Bailee",0.28,0.72,117
"Baker",0.92,0.08,12
"Baljinder",0.75,0.25,12
"Baltazar",1.00,0.00,11
"Bambi",0.22,0.78,18
"Bao",0.85,0.15,27
"Barb",0.16,0.84,32
"Barbara",0.02,0.98,664
"Barbie",0.00,1.00,24
"Barbra",0.00,1.00,18
"Baron",1.00,0.00,20
"Barrett",0.94,0.06,36
"Barrington",1.00,0.00,13
"Barron",1.00,0.00,11
"Barry",0.95,0.05,130
"Bart",1.00,0.00,25
"Basil",0.85,0.15,27
"Baylee",0.21,0.79,145
"Baylie",0.26,0.74,23
"Baylor",0.77,0.23,13
"Bea",0.24,0.76,21
"Bear",0.88,0.12,17
"Beatrice",0.01,0.99,97
"Beatriz",0.03,0.97,150
"Beau",0.76,0.24,117
"Becca",0.02,0.98,366
"Becka",0.00,1.00,12
"Becky",0.02,0.98,246
"Bekah",0.05,0.95,42
"Bela",0.00,1.00,11
"Belinda",0.00,1.00,144
"Bella",0.01,0.99,381
"Belle",0.00,1.00,46
"Ben",0.99,0.01,1690
"Benita",0.00,1.00,35
"Benito",0.96,0.04,28
"Benjamin",0.98,0.02,828
"Benji",0.98,0.02,61
"Bennet",0.83,0.17,12
"Bennett",0.88,0.12,52
"Bennie",0.81,0.19,37
"Benny",0.91,0.09,81
"Benson",1.00,0.00,21
"Berenice",0.09,0.91,90
"Bernadette",0.07,0.93,73
"Bernard",0.96,0.04,133
"Bernardo",0.92,0.08,37
"Bernice",0.10,0.90,77
"Bernie",0.97,0.03,36
"Berry",0.73,0.27,15
"Bert",1.00,0.00,17
"Berta",0.07,0.93,14
"Bertha",0.02,0.98,59
"Berto",1.00,0.00,16
"Beth",0.04,0.96,271
"Bethanie",0.00,1.00,27
"Bethany",0.01,0.99,425
"Beto",0.89,0.11,19
"Betsy",0.01,0.99,105
"Bettina",0.05,0.95,20
"Betty",0.03,0.97,237
"Bev",0.18,0.82,11
"Beverly",0.02,0.98,200
"Beyonce",0.04,0.96,25
"Bianca",0.01,0.99,773
"Bianka",0.00,1.00,35
"Bibiana",0.09,0.91,11
"Big",0.85,0.15,67
"Bilal",0.78,0.22,54
"Bill",0.98,0.02,249
"Billi",0.82,0.18,11
"Billie",0.80,0.20,83
"Billy",0.98,0.02,405
"Bionca",0.00,1.00,16
"Bishop",0.94,0.06,34
"Bj",0.97,0.03,59
"Black",0.94,0.06,16
"Bladimir",1.00,0.00,11
"Blaine",0.71,0.29,70
"Blake",0.94,0.06,890
"Blanca",0.01,0.99,207
"Blane",1.00,0.00,13
"Blaze",0.89,0.11,18
"Blessing",0.05,0.95,41
"Bo",1.00,0.00,63
"Bob",0.99,0.01,179
"Bobbi",0.72,0.28,75
"Bobbie",0.86,0.14,125
"Bobby",0.98,0.02,492
"Bonita",0.03,0.97,29
"Boris",0.91,0.09,34
"Boston",0.87,0.13,15
"Boyd",1.00,0.00,11
"Brad",0.98,0.02,449
"Braden",0.98,0.02,191
"Bradford",1.00,0.00,29
"Bradley",0.97,0.03,416
"Bradly",1.00,0.00,19
"Bradon",1.00,0.00,17
"Brady",0.93,0.07,334
"Braeden",0.94,0.06,52
"Braedon",1.00,0.00,13
"Braiden",0.92,0.08,26
"Brandan",1.00,0.00,28
"Branden",0.97,0.03,158
"Brandin",0.95,0.05,22
"Brando",0.95,0.05,19
"Brandon",0.99,0.01,4248
"Brandt",0.89,0.11,19
"Brandyn",0.86,0.14,28
"Brannon",1.00,0.00,16
"Branson",1.00,0.00,17
"Brant",1.00,0.00,17
"Braulio",0.89,0.11,27
"Braxton",0.91,0.09,115
"Brayan",0.88,0.12,83
"Brayden",0.96,0.04,163
"Braydon",0.96,0.04,49
"Braylon",1.00,0.00,11
"Bre",0.19,0.81,143
"Brea",0.03,0.97,58
"Breana",0.01,0.99,124
"Breann",0.20,0.80,61
"Breanna",0.02,0.98,784
"Breanne",0.03,0.97,62
"Breauna",0.00,1.00,15
"Breaunna",0.00,1.00,14
"Breck",1.00,0.00,11
"Bree",0.16,0.84,147
"Breeana",0.00,1.00,15
"Breeanna",0.00,1.00,31
"Brenda",0.02,0.98,1091
"Brendan",0.89,0.11,543
"Brenden",0.92,0.08,184
"Brendon",0.99,0.01,146
"Brenna",0.01,0.99,193
"Brennan",0.87,0.13,159
"Brennen",0.88,0.12,51
"Brennon",0.84,0.16,19
"Brent",0.99,0.01,293
"Brenton",0.93,0.07,42
"Breon",0.87,0.13,15
"Breona",0.00,1.00,26
"Breonna",0.03,0.97,60
"Bret",0.99,0.01,68
"Brett",0.94,0.06,565
"Brevin",0.92,0.08,12
"Breyana",0.00,1.00,16
"Breyanna",0.03,0.97,35
"Breyonna",0.00,1.00,14
"Bri",0.20,0.80,354
"Bria",0.04,0.96,177
"Briahna",0.00,1.00,11
"Brian",0.98,0.02,2428
"Briana",0.01,0.99,1025
"Brianda",0.03,0.97,34
"Briann",0.93,0.07,14
"Brianna",0.01,0.99,2345
"Briannah",0.00,1.00,15
"Brianne",0.13,0.87,115
"Briauna",0.06,0.94,17
"Brice",0.90,0.10,59
"Bridget",0.03,0.97,326
"Bridgett",0.02,0.98,44
"Bridgette",0.00,1.00,123
"Brie",0.21,0.79,66
"Brieanna",0.00,1.00,28
"Brielle",0.16,0.84,80
"Brien",1.00,0.00,11
"Brigette",0.06,0.94,18
"Brigham",0.71,0.29,14
"Brighton",0.81,0.19,16
"Brigid",0.12,0.88,17
"Brigitte",0.04,0.96,53
"Brina",0.00,1.00,16
"Brion",0.88,0.13,16
"Briona",0.03,0.97,32
"Brionna",0.03,0.97,79
"Brisa",0.08,0.92,36
"Briseida",0.00,1.00,13
"Brissa",0.00,1.00,11
"Brit",0.20,0.80,44
"Britani",0.00,1.00,12
"Britany",0.05,0.95,44
"Britnee",0.00,1.00,16
"Britney",0.01,0.99,340
"Britni",0.03,0.97,29
"Britny",0.00,1.00,13
"Britt",0.19,0.81,79
"Britta",0.08,0.92,12
"Brittanee",0.00,1.00,12
"Brittaney",0.00,1.00,31
"Brittani",0.02,0.98,90
"Brittanie",0.00,1.00,46
"Brittany",0.01,0.99,3102
"Brittnay",0.00,1.00,27
"Brittnee",0.00,1.00,35
"Brittney",0.01,0.99,737
"Brittni",0.03,0.98,40
"Brittnie",0.00,1.00,20
"Brittny",0.00,1.00,31
"Briyana",0.00,1.00,14
"Brock",0.97,0.03,165
"Broderick",0.92,0.08,24
"Brodie",1.00,0.00,20
"Brodrick",0.91,0.09,11
"Brody",0.97,0.03,122
"Brogan",1.00,0.00,12
"Bronson",0.95,0.05,37
"Brook",0.20,0.80,103
"Brooke",0.17,0.83,1280
"Brookelynn",0.20,0.80,15
"Brookie",0.00,1.00,11
"Brooklyn",0.13,0.87,252
"Brooklynn",0.16,0.84,61
"Brother",0.97,0.03,35
"Bruce",0.98,0.02,245
"Bruna",0.05,0.95,19
"Bruno",0.99,0.01,70
"Bryan",0.99,0.01,1277
"Bryana",0.00,1.00,53
"Bryanna",0.02,0.98,177
"Bryanne",0.21,0.79,14
"Bryant",0.99,0.01,160
"Bryce",0.95,0.05,640
"Brycen",0.75,0.25,20
"Brynna",0.07,0.93,15
"Brynne",0.08,0.92,12
"Bryon",1.00,0.00,37
"Bryson",0.99,0.01,125
"Bryton",1.00,0.00,19
"Bubba",0.76,0.24,37
"Buck",1.00,0.00,18
"Bud",1.00,0.00,12
"Buddy",0.96,0.04,26
"Burke",0.86,0.14,14
"Byron",0.99,0.01,150
"C",0.84,0.16,19
